state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,93,10300,205600,6.6,1972,91,91,0.600803751,81,51.15833492,93.77551796,0.020810108,0.473568282,0.49608419,5615,5278,85,17460,4519860
39,93,10400,163400,5.2,2001,60,87,0.65679677,41,71,82,0.035956227,0.417508418,0.523756079,3513,3221,40,17460,8591009
39,93,13100,301500,7.7,2000,94,70,0.637739081,80,52.6432477,90.49313938,0.021933751,0.535488959,0.432492114,9441,8880,13,17460,27391725
39,93,13200,293400,7.5,2000,82,70,0.729647631,87,41.67617391,91,0.043713572,0.538836684,0.427262995,13558,11945,1124,17460,26498209
39,93,21100,103400,5.8,1963,54,28,0.687281621,40,20.1852518,74.93435252,0.073207931,0.243785434,0.713475796,3338,3153,51,17460,2872457
39,93,21200,115000,6.3,1968,56,27,0.65636121,65,2.35562834,73,0.052524568,0.157387322,0.739214268,5630,5168,51,17460,3541908
39,93,22100,87800,6.1,1949,66,22,0.667522465,46,2.351295337,23.54507772,0.040384615,0.236311239,0.706051873,2008,1877,69,17460,1086445
39,93,22200,76200,5.3,1947,20,12,0.592857143,15,6.136062378,41.04873294,0.092369478,0.190045249,0.623868778,2747,2256,260,17460,1508816
39,93,22400,72400,5.7,1939,9,18,0.551872721,21,1.640963855,39.06096386,0.044444444,0.054805095,0.67039753,3811,2550,972,17460,1797845
39,93,22500,94300,6.3,1942,29,15,0.697637795,70,0,29.91112492,0.032731377,0.327838828,0.587912088,1662,1437,80,17460,1117351
39,93,22601,119000,5.2,1966,6,8,0.55437788,3,5.106862044,17,0.093931837,0.122890295,0.699367089,2527,1657,630,17460,2898315
39,93,22800,73300,5,1957,2,8,0.544669545,13,0.779138514,20.30869932,0.115853659,0.081496881,0.725155925,4317,2163,1628,17460,2010641
39,93,23000,66800,5.3,1957,8,11,0.535604508,20,8.744915096,29.0095167,0.18842659,0.025515211,0.790971541,5102,3957,669,17460,5312093
39,93,23100,57100,5.6,1952,5,7,0.559287738,9,12.15106875,8.870883882,0.095513748,0.061902365,0.646200302,3575,2059,744,17460,6349725
39,93,23200,35000,5.7,1939,15,10,0.532258065,10,4.262129599,18.98339303,0.224082935,0.040883978,0.750276243,3068,1840,715,17460,1635584
39,93,23300,52100,5.7,1939,9,9,0.64305633,6,1.724672229,19.28963051,0.086730269,0.045818182,0.717090909,2469,1032,669,17460,1098313
39,93,23400,91900,5.4,1968,40,5,0.506697729,66,3.00671785,14,0.083908046,0.125160462,0.740693196,1966,1621,212,17460,1575769
39,93,23500,80400,5.5,1954,37,7,0.559785842,50,0.819717024,12.18028298,0.102019129,0.094869993,0.782853127,1973,1545,194,17460,1369880
39,93,23600,63300,5.8,1939,10,9,0.530914665,5,14.13989455,9.365202109,0.076034649,0.03480826,0.699705015,2515,1896,414,17460,1509457
39,93,23700,66700,5.3,1961,8,6,0.527300303,53,12.21329746,10.60799385,0.089165868,0.112068966,0.627155172,4775,3037,1056,17460,3449856
39,93,23800,80500,5.5,1962,10,7,0.526527331,45,14,20,0.045801527,0.073631841,0.694527363,1553,1169,128,17460,3167716
39,93,23900,67900,5.4,1954,8,11,0.566520468,8,7.184060721,22,0.112258065,0.092625899,0.723021583,1671,1237,303,17460,2946846
39,93,24000,97200,4.7,1963,13,6,0.588842975,26,7,22,0.065497076,0.06737013,0.662337662,1818,1400,275,17460,1888539
39,93,24100,133800,6.4,1969,44,8,0.504487659,31,3.792854689,14.58570938,0.060178306,0.241956242,0.547833548,3238,2539,452,17460,5496821
39,93,24200,127300,5.6,1972,26,7,0.647499331,38,10.8228194,14,0.058240397,0.155774396,0.721575649,5063,4063,697,17460,2596053
39,93,28100,212100,6.5,1993,82,35,0.613093566,70,49,48,0.024747938,0.318167254,0.608458827,4190,3771,166,17460,27824619
